seeds: 1132132257 323430997 2043754183 4501055 2539071613 1059028389 1695770806 60470169 2220296232 251415938 1673679740 6063698 962820135 133182317 262615889 327780505 3602765034 194858721 2147281339 37466509

seed-to-soil map:
0 1871265033 40167335
2980967789 4223965154 1108196
1619041805 450217426 19740348
1193445287 469957774 102000436
944482386 426277008 23940418
4080251855 3169505934 66967186
1548392133 821311872 70649672
1531523817 1911432368 16868316
2970868275 4213865640 10099514
3455997093 4291636932 3330364
2137683304 416816565 9460443
3794022865 3236473120 103816678
2147143747 0 39188438
2640322411 1496517734 7543964
968422804 60204196 12206937

light-to-temperature map:
224631556 2579077346 68012835
93390978 2647090181 93292258
836334842 260175809 93895333
3305235739 4175688657 119278639
2495493200 354071142 67947352
2563440552 648390650 214063090
4184988573 4065709934 109978723
930230175 2740382439 151863620
2777503642 1813071562 114742417
3424514378 3772814840 292895094
1492090043 422018494 226372156
3717409472 3176683751 126763710
3273297 2243837725 90117681
1216313119 2511603925 67473421
4104753748 3096448926 80234825
2392410003 1112358810 103083197
759707869 2434976952 76626973
2031212648 2333955406 101021546
2132234194 0 260175809
1718462199 1931087276 312750449
186683236 1682505485 37948320
1174711552 1070757243 41601567
292644391 1215442007 467063478
3844173182 3512234274 260580566
1283786540 862453740 208303503
3096448926 3303447461 208786813
1082093795 1720453805 92617757
0 1927813979 3273297

temperature-to-humidity map:
1908382071 0 48093237
1668173777 369927146 108464980
2454615458 3265918092 19222900
2948843885 2383489773 582426713
1291899323 304752282 65174864
4051886972 3793288156 243080324
2849120094 3285140992 99723791
2415628816 3186987107 38986642
724194709 716571124 379381363
1103576072 2070505932 18664072
3531270598 1602200086 102620550
4020906946 3755760878 30980026
1122240144 2285968817 97520956
2779959793 1533039785 69160301
1357074187 2089170004 196798813
1823337263 624772153 85044808
561911923 1433912547 99127238
2538151277 1095952487 222368482
1776638757 709816961 6754163
2248869517 1776958859 59989455
2760519759 48093237 3497277
3770981692 4278303020 16664276
3755760878 4263082206 15220814
2497298857 263899862 40852420
2473838358 1900103862 23460499
234010997 51590514 212309348
661039161 1836948314 63155548
0 1923564361 87630970
1219761100 1704820636 72138223
87630970 478392126 146380027
1956475308 3462247498 171643650
3787645968 3786740904 6547252
2764017036 2054563175 15942757
2171486802 3384864783 77382715
446320345 1318320969 115591578
1783392920 3225973749 39944343
2308858972 2965916486 106769844
1553873000 3072686330 114300777
3794193220 4036368480 226713726
2128118958 2011195331 43367844

humidity-to-location map:
2944942064 3820503519 61983659
3834803738 3234323053 106874653
2156211251 3962463577 28956273
483302901 3882487178 79976399
2282996952 2161034243 46548053
2629999410 1876993734 225283872
3370099006 3129013552 105309501
1029930529 620272722 135507476
3572091970 2932598747 109287331
3739626327 942443797 51739908
3311342369 2102277606 58756637
3941678391 399929037 136325691
1245368468 58880743 172279414
790057642 1189404679 239872887
1498307968 3341197706 67668316
273081010 616914814 3357908
2501095485 2803694822 128903925
3475408507 4198283833 96683463
1860675375 3456652816 219039792
245544342 2207582296 27536668
3006925723 1666468371 210525363
3791366235 3733939634 11933242
1165438005 1502653815 79930463
1691906495 231160157 168768880
1590576804 994183705 101329691
2079715167 2235118964 76496084
276438918 3991419850 206863983
563279300 2507766048 226778342
2855283282 3408866022 47786794
1565976284 2311615048 24600520
3217451086 1095513396 93891283
3803299477 1429277566 31504261
4161888175 2757743175 45951647
2903070076 1460781827 41871988
3681379301 3675692608 58247026
4207839822 3041886078 87127474
2185167524 2734544390 23198785
2329545005 2336215568 171550480
4078004082 1582584278 83884093
1417647882 536254728 80660086
58880743 755780198 186663599
2208366309 3745872876 74630643
